date,population,admission,release
2022-08-27,119708.5486664575,2944.1295377245597,1286.9955643753
2022-08-28,120526.18263980672,2104.6295377245597,1372.4955643753
2022-08-29,120874.81661315598,1721.1295377245594,3364.9955643753
2022-08-30,120359.45058650522,2630.1113686475364,3388.165581166547
2022-08-31,120168.8184021161,3197.533396777389,2831.9476324485986
2022-09-01,119954.91698695769,2618.0462172902094,3403.9476324485986
2022-09-02,119563.68223846599,3013.379550623543,2715.853615354581
2022-09-03,119693.94748997426,2985.879550623543,1229.6142991152649
2022-09-04,120590.21274148251,2124.323995067987,1604.4476324485981
2022-09-05,120953.81132632415,1968.0462172902094,1449.4476324485981
2022-09-06,121260.40991116576,1756.0462172902094,3628.7809657819316
2022-09-07,120524.00849600742,2892.379550623543,3243.8642991152647
2022-09-08,120415.44041418229,3131.54621729021,3316.830965781931
2022-09-09,120078.26122124612,2982.8517728457655,2435.0309657819307
2022-09-10,120250.08202830999,2606.851772845765,1222.99250424347
2022-09-11,120957.71052768148,1930.6210036149957,1337.4925042434704
2022-09-12,121360.33902705304,1740.6210036149957,3038.2147264656924
2022-09-13,120894.07863753568,2570.3543369483286,3253.881393132359
2022-09-14,120418.81824801832,2779.9543369483285,2805.714726465692
2022-09-15,120112.55785850095,2499.454336948329,3003.4352703713275
2022-09-16,119808.15461184071,2806.0317179007097,2670.93496456093
2022-09-17,119984.75136518048,2848.865051234043,1308.9349645609307
2022-09-18,120581.01478518693,1905.198384567377,1327.9349645609307
2022-09-19,121045.2782051934,1790.8650512340434,3183.518297894264
2022-09-20,120354.7082918665,2494.2817179007097,3620.184964560931
2022-09-21,120231.47171187295,3491.9712156176047,3191.775527726837
2022-09-22,119833.12858697832,2792.0990694988836,3200.5691785204863
2022-09-23,119641.92831922657,2990.146688546503,2541.2604178367255
2022-09-24,119957.42035916712,2856.752457777272,1211.7604178367262
2022-09-25,120783.41239910765,2037.7524577772715,1322.5604178367264
2022-09-26,121189.00443904819,1728.1524577772716,3345.5604178367257
2022-09-27,120468.59647898874,2625.1524577772716,3167.560417836726
2022-09-28,119892.1885189293,2591.1524577772716,3093.3104178367257
2022-09-29,119431.28055886985,2632.4024577772716,2894.071975014342
2022-09-30,119286.31542119483,2757.3568373393164,2847.5219750143415
2022-10-01,119371.25028351977,2930.6790595615385,1327.521975014342
2022-10-02,120194.18514584478,2151.4568373393154,1318.271975014342
2022-10-03,120615.62000816972,1738.7068373393154,3469.7799255443774
2022-10-04,119847.2880860424,2701.448003417054,3205.961743726194
2022-10-05,119475.95616391509,2836.4480034170547,2970.2799255443765
2022-10-06,119282.62424178777,2776.948003417054,3015.5362432339075
2022-10-07,119116.35008139328,2849.262082839437,2836.536243233907
2022-10-08,119190.82592099885,2911.012082839437,1292.536243233908
2022-10-09,119930.30176060436,2032.0120828394367,1328.5362432339077
2022-10-10,120376.77760020987,1772.5120828394367,2554.5362432339075
2022-10-11,120153.25343981538,2330.0954161727695,3020.869576567241
2022-10-12,119790.14594608762,2657.762082839437,2942.2029099005745
2022-10-13,119520.0384523598,2673.873193950548,3150.9806876783523
2022-10-14,119112.930958632,2743.873193950548,2727.980687678352
2022-10-15,119258.8234649042,2870.2368303141843,1265.4806876783525
2022-10-16,120031.21597117637,2040.8731939505478,1222.4806876783523
2022-10-17,120348.10847744858,1539.3731939505476,3010.9806876783523
